"filename", "language", "Rust", "YAML", "TOML", "comment", "blank", "total"
"d:\Projects\rust-projects\rise_of_industry_caculator\Cargo.toml", "TOML", 0, 0, 1, 0, 0, 1
"d:\Projects\rust-projects\rise_of_industry_caculator\data\building_info.yaml", "YAML", 0, 5, 0, -1, 0, 4
"d:\Projects\rust-projects\rise_of_industry_caculator\data\global_market_prices.yaml", "YAML", 0, 1, 0, 1, 1, 3
"d:\Projects\rust-projects\rise_of_industry_caculator\data\recipes.yaml", "YAML", 0, 4, 0, 1, 3, 8
"d:\Projects\rust-projects\rise_of_industry_caculator\src\app.rs", "Rust", 98, 0, 0, 2, 4, 104
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\mod.rs", "Rust", 19, 0, 0, 1, 0, 20
"d:\Projects\rust-projects\rise_of_industry_caculator\src\backend\money.rs", "Rust", 4, 0, 0, 0, 0, 4
"d:\Projects\rust-projects\rise_of_industry_caculator\src\main.rs", "Rust", 0, 0, 0, 0, 1, 1
"Total", "-", 121, 10, 1, 4, 9, 145
